teaching,teaching,coursecontent,coursecontent,examination,Examination,labwork,labwork,library_facilities, library_facilities,extracurricular,extracurricular
6,"felicity,",6,"blissfulness,",6,"felicity,",6,"felicity,",6,"felicity,",6,"gladness,"
6,"gladness,",6,"felicity,",6,"gladness,",6,"gladness,",6,"gladness,",6,happy
6,happy,6,"gladness,",6,happy,6,happy,6,happy,6,warm fuzzies.
6,warm fuzzies.,6,happy,6,warm fuzzies.,6,warm fuzzies.,6,warm fuzzies.,6,"beatitude,"
6,"beatitude,",6,warm fuzzies.,6,"beatitude,",6,"beatitude,",6,"beatitude,",6,blessed
6,blessed,6,"beatitude,",6,blessed,6,blessed,6,blessed,6,"bliss,"
6,"bliss,",6,blessed,6,"bliss,",6,"bliss,",6,"bliss,",6,"blissfulness,"
6,"blissfulness,",6,"bliss,",6,"blissfulness,",6,"blissfulness,",6,"blissfulness,",6,"felicity,"
6,"felicity,",6,"blissfulness,",6,"felicity,",6,"felicity,",6,"felicity,",6,"gladness,"
6,"gladness,",6,"felicity,",6,"gladness,",6,"gladness,",6,"gladness,",6,happy
6,happy,6,"gladness,",6,happy,6,happy,6,happy,6,warm fuzzies.
6,warm fuzzies.,6,happy,6,warm fuzzies.,6,warm fuzzies.,6,warm fuzzies.,6,"beatitude,"
6,"beatitude,",6,warm fuzzies.,6,"beatitude,",6,"beatitude,",6,"beatitude,",6,blessed
6,blessed,6,"beatitude,",6,blessed,6,blessed,6,blessed,6,"bliss,"
6,"bliss,",6,blessed,6,"bliss,",6,"bliss,",6,"bliss,",6,"blissfulness,"
6,"blissfulness,",6,"bliss,",6,"blissfulness,",6,"blissfulness,",6,"blissfulness,",6,"felicity,"
6,"felicity,",6,"blissfulness,",6,"felicity,",6,"felicity,",6,"felicity,",6,"gladness,"
6,"gladness,",6,"felicity,",6,"gladness,",6,"gladness,",6,"gladness,",6,happy
6,happy,6,"gladness,",6,happy,6,happy,6,happy,6,warm fuzzies.
6,warm fuzzies.,6,happy,6,warm fuzzies.,6,warm fuzzies.,6,warm fuzzies.,7,"amazement,"
7,"amazement,",6,warm fuzzies.,7,"amazement,",7,"amazement,",7,"amazement,",7,"astonishment,"
7,"astonishment,",7,"amazement,",7,"astonishment,",7,"astonishment,",7,"astonishment,",7,"shock,"
7,"shock,",7,"astonishment,",7,"shock,",7,"shock,",7,"shock,",7,"startlement,"
7,"startlement,",7,"shock,",7,"startlement,",7,"startlement,",7,"startlement,",7,stupefaction.
7,stupefaction.,7,"startlement,",7,stupefaction.,7,stupefaction.,7,stupefaction.,7,"amazement,"
7,"amazement,",7,stupefaction.,7,"amazement,",7,"amazement,",7,"amazement,",7,"astonishment,"
7,"astonishment,",7,"amazement,",7,"astonishment,",7,"astonishment,",7,"astonishment,",7,"shock,"
7,"shock,",7,"astonishment,",7,"shock,",7,"shock,",7,"shock,",7,"startlement,"
7,"startlement,",7,"shock,",7,"startlement,",7,"startlement,",7,"startlement,",7,stupefaction.
7,stupefaction.,7,"startlement,",7,stupefaction.,7,stupefaction.,7,stupefaction.,7,"amazement,"
7,"amazement,",7,stupefaction.,7,"amazement,",7,"amazement,",7,"amazement,",7,"astonishment,"
7,"astonishment,",7,"amazement,",7,"astonishment,",7,"astonishment,",7,"astonishment,",7,"shock,"
7,"shock,",7,"astonishment,",7,"shock,",7,"shock,",7,"shock,",7,"startlement,"
7,"startlement,",7,"shock,",7,"startlement,",7,"startlement,",7,"startlement,",7,stupefaction.
7,stupefaction.,7,"startlement,",7,stupefaction.,7,stupefaction.,7,stupefaction.,1,very cheerful 
1,very cheerful ,7,stupefaction.,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,delighted
1,delighted,1,very cheerful ,1,delighted,1,delighted,1,delighted,1,ecstatic.
1,ecstatic.,1,delighted,1,ecstatic.,1,ecstatic.,1,ecstatic.,1,glad.
1,glad.,1,ecstatic.,1,glad.,1,glad.,1,glad.,1,joyful
1,joyful,1,glad.,1,joyful,1,joyful,1,joyful,1,joyous
1,joyous,1,joyful,1,joyous,1,joyous,1,joyous,1,cheerful
1,cheerful,1,joyous,1,cheerful,1,cheerful,1,cheerful,1,course content where very cheerful and motivating.  
1,very cheerful ,1,cheerful,1,course content where very cheerful and motivating.  ,1,course content where very cheerful and motivating.  ,1,course content where very cheerful and motivating.  ,1,very cheerful 
1,delighted,1,course content where very cheerful and motivating.  ,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,very cheerful 
1,ecstatic.,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,cheerful 
1,glad.,1,very cheerful ,1,cheerful ,1,cheerful ,1,cheerful ,1,very cheerful 
1,joyful,1,cheerful ,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,cheerful 
1,joyous,1,very cheerful ,1,cheerful ,1,cheerful ,1,cheerful ,1,delighted
1,cheerful,1,cheerful ,1,delighted,1,delighted,1,delighted,1,ecstatic.
1,very cheerful ,1,delighted,1,ecstatic.,1,ecstatic.,1,ecstatic.,1,glad.
1,delighted,1,ecstatic.,1,glad.,1,glad.,1,glad.,1,joyful
1,ecstatic.,1,glad.,1,joyful,1,joyful,1,joyful,1,joyous
1,I am very glad to meet the faculty. They where very friendly to student ,1,joyful,1,joyous,1,joyous,1,joyous,1,cheerful
1,classroom environment where very joyful,1,joyous,1,cheerful,1,cheerful,1,cheerful,-1,"depressing,"
1,joyous,1,cheerful,-1,"depressing,",-1,"depressing,",-1,"depressing,",-1,"dismal,"
1,cheerful,-1,"depressing,",-1,"dismal,",-1,"dismal,",-1,"dismal,",-1,"drear,"
1,very cheerful ,-1,"dismal,",-1,"drear,",-1,"drear,",-1,"drear,",-1,"dreary,"
1,delighted,-1,"drear,",-1,"dreary,",-1,"dreary,",-1,"dreary,",-1,"heartbreaking,"
1,ecstatic.,-1,"dreary,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartrending,"
1,glad.,-1,"heartbreaking,",-1,"heartrending,",-1,"heartrending,",-1,"heartrending,",-1,"melancholy,"
1,joyful,-1,"heartrending,",-1,"melancholy,",-1,"melancholy,",-1,"melancholy,",-1,"mournful,"
1,joyous,-1,"melancholy,",-1,"mournful,",-1,"mournful,",-1,"mournful,",-1,"depressing,"
1,cheerful,-1,"mournful,",-1,"depressing,",-1,"depressing,",-1,"depressing,",-1,"dismal,"
1,very cheerful ,-1,"depressing,",-1,"dismal,",-1,"dismal,",-1,"dismal,",-1,"drear,"
1,delighted,-1,"dismal,",-1,"drear,",-1,"drear,",-1,"drear,",-1,"dreary,"
1,ecstatic.,-1,"drear,",-1,"dreary,",-1,"dreary,",-1,"dreary,",-1,"heartbreaking,"
1,glad.,-1,"dreary,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartrending,"
1,joyful,-1,"heartbreaking,",-1,"heartrending,",-1,"heartrending,",-1,"heartrending,",-1,"melancholy,"
1,joyous,-1,"heartrending,",-1,"melancholy,",-1,"melancholy,",-1,"melancholy,",-1,"mournful,"
1,cheerful,-1,"melancholy,",-1,"mournful,",-1,"mournful,",-1,"mournful,",-1,"depressing,"
1,course content where very cheerful and motivating.  ,-1,"mournful,",-1,"depressing,",-1,"depressing,",-1,"depressing,",-1,"dismal,"
1,very cheerful ,-1,"depressing,",-1,"dismal,",-1,"dismal,",-1,"dismal,",-1,"drear,"
1,very cheerful ,-1,"dismal,",-1,"drear,",-1,"drear,",-1,"drear,",-1,"dreary,"
1,cheerful ,-1,"drear,",-1,"dreary,",-1,"dreary,",-1,"dreary,",-1,"heartbreaking,"
1,very cheerful ,-1,"dreary,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartrending,"
1,cheerful ,-1,"heartbreaking,",-1,"heartrending,",-1,"heartrending,",-1,"heartrending,",-1,"melancholy,"
1,delighted,-1,"heartrending,",-1,"melancholy,",-1,"melancholy,",-1,"melancholy,",-1,"mournful,"
1,ecstatic.,-1,"melancholy,",-1,"mournful,",-1,"mournful,",-1,"mournful,",4,angry.
1,glad.,-1,"mournful,",4,angry.,4,angry.,4,angry.,4,enraged.
1,joyful,4,angry.,4,enraged.,4,enraged.,4,enraged.,4,fuming.
1,joyous,4,enraged.,4,fuming.,4,fuming.,4,fuming.,4,furious.
1,cheerful,4,fuming.,4,furious.,4,furious.,4,furious.,4,incensed.
-1,"depressing,",4,furious.,4,incensed.,4,incensed.,4,incensed.,4,indignant.
-1,"dismal,",4,incensed.,4,indignant.,4,indignant.,4,indignant.,4,infuriated.
-1,"drear,",4,indignant.,4,infuriated.,4,infuriated.,4,infuriated.,4,mad.
-1,"dreary,",4,infuriated.,4,mad.,4,mad.,4,mad.,4,angry.
-1,"heartbreaking,",4,mad.,4,angry.,4,angry.,4,angry.,4,enraged.
-1,"heartrending,",4,angry.,4,enraged.,4,enraged.,4,enraged.,4,fuming.
-1,"melancholy,",4,enraged.,4,fuming.,4,fuming.,4,fuming.,4,furious.
-1,"mournful,",4,fuming.,4,furious.,4,furious.,4,furious.,4,incensed.
-1,"depressing,",4,furious.,4,incensed.,4,incensed.,4,incensed.,4,indignant.
-1,"dismal,",4,incensed.,4,indignant.,4,indignant.,4,indignant.,4,infuriated.
-1,"drear,",4,indignant.,4,infuriated.,4,infuriated.,4,infuriated.,4,mad.
-1,"dreary,",4,infuriated.,4,mad.,4,mad.,4,mad.,4,angry.
-1,"heartbreaking,",4,mad.,4,angry.,4,angry.,4,angry.,4,enraged.
-1,"heartrending,",4,angry.,4,enraged.,4,enraged.,4,enraged.,4,fuming.
-1,"melancholy,",4,enraged.,4,fuming.,4,fuming.,4,fuming.,4,furious.
-1,"mournful,",4,fuming.,4,furious.,4,furious.,4,furious.,4,incensed.
-1,"depressing,",4,furious.,4,incensed.,4,incensed.,4,incensed.,4,indignant.
-1,"dismal,",4,incensed.,4,indignant.,4,indignant.,4,indignant.,4,infuriated.
-1,"drear,",4,indignant.,4,infuriated.,4,infuriated.,4,infuriated.,4,mad.
-1,"dreary,",4,infuriated.,4,mad.,4,mad.,4,mad.,5,alarm.
-1,"heartbreaking,",4,mad.,5,alarm.,5,alarm.,5,alarm.,5,anxiety
-1,"heartrending,",5,alarm.,5,anxiety,5,anxiety,5,anxiety,5,dread
-1,"melancholy,",5,anxiety,5,dread,5,dread,5,dread,5,"fearfulness,"
-1,"mournful,",5,dread,5,"fearfulness,",5,"fearfulness,",5,"fearfulness,",5,"fright,"
4,angry.,5,"fearfulness,",5,"fright,",5,"fright,",5,"fright,",5,"horror,"
4,enraged.,5,"fright,",5,"horror,",5,"horror,",5,"horror,",5,"panic,"
4,fuming.,5,"horror,",5,"panic,",5,"panic,",5,"panic,",5,alarm.
4,furious.,5,"panic,",5,alarm.,5,alarm.,5,alarm.,5,anxiety
4,incensed.,5,alarm.,5,anxiety,5,anxiety,5,anxiety,5,dread
4,indignant.,5,anxiety,5,dread,5,dread,5,dread,5,"fearfulness,"
4,infuriated.,5,dread,5,"fearfulness,",5,"fearfulness,",5,"fearfulness,",5,"fright,"
4,mad.,5,"fearfulness,",5,"fright,",5,"fright,",5,"fright,",5,"horror,"
4,angry.,5,"fright,",5,"horror,",5,"horror,",5,"horror,",5,"panic,"
4,enraged.,5,"horror,",5,"panic,",5,"panic,",5,"panic,",5,alarm.
4,fuming.,5,"panic,",5,alarm.,5,alarm.,5,alarm.,5,anxiety
4,furious.,5,alarm.,5,anxiety,5,anxiety,5,anxiety,5,dread
4,incensed.,5,anxiety,5,dread,5,dread,5,dread,5,"fearfulness,"
4,indignant.,5,dread,5,"fearfulness,",5,"fearfulness,",5,"fearfulness,",5,"fright,"
4,infuriated.,5,"fearfulness,",5,"fright,",5,"fright,",5,"fright,",5,"horror,"
4,mad.,5,"fright,",5,"horror,",5,"horror,",5,"horror,",5,"panic,"
4,angry.,5,"horror,",5,"panic,",5,"panic,",5,"panic,",5,alarm.
4,enraged.,5,"panic,",5,alarm.,5,alarm.,5,alarm.,5,anxiety
4,fuming.,5,alarm.,5,anxiety,5,anxiety,5,anxiety,5,dread
4,furious.,5,anxiety,5,dread,5,dread,5,dread,5,"fearfulness,"
4,incensed.,5,dread,5,"fearfulness,",5,"fearfulness,",5,"fearfulness,",5,"fright,"
4,indignant.,5,"fearfulness,",5,"fright,",5,"fright,",5,"fright,",5,"horror,"
4,infuriated.,5,"fright,",5,"horror,",5,"horror,",5,"horror,",5,"panic,"
4,mad.,5,"horror,",5,"panic,",5,"panic,",5,"panic,",6,"beatitude,"
5,alarm.,5,"panic,",6,"beatitude,",6,"beatitude,",6,"beatitude,",6,blessed
5,anxiety,6,"beatitude,",6,blessed,6,blessed,6,blessed,6,"bliss,"
5,dread,6,blessed,6,"bliss,",6,"bliss,",6,"bliss,",6,"blissfulness,"
5,"fearfulness,",6,"bliss,",6,"blissfulness,",6,"blissfulness,",6,"blissfulness,",6,"felicity,"
5,"fright,",6,"blissfulness,",6,"felicity,",6,"felicity,",6,"felicity,",6,"gladness,"
5,"horror,",6,"felicity,",6,"gladness,",6,"gladness,",6,"gladness,",6,happy
5,"panic,",6,"gladness,",6,happy,6,happy,6,happy,6,warm fuzzies.
5,alarm.,6,happy,6,warm fuzzies.,6,warm fuzzies.,6,warm fuzzies.,6,"beatitude,"
5,anxiety,6,warm fuzzies.,6,"beatitude,",6,"beatitude,",6,"beatitude,",6,blessed
5,dread,6,"beatitude,",6,blessed,6,blessed,6,blessed,6,"bliss,"
5,"fearfulness,",6,blessed,6,"bliss,",6,"bliss,",6,"bliss,",6,"blissfulness,"
5,"fright,",6,"bliss,",6,"blissfulness,",6,"blissfulness,",6,"blissfulness,",6,"felicity,"
5,"horror,",6,"blissfulness,",6,"felicity,",6,"felicity,",6,"felicity,",6,"gladness,"
5,"panic,",6,"felicity,",6,"gladness,",6,"gladness,",6,"gladness,",6,happy
5,alarm.,6,"gladness,",6,happy,6,happy,6,happy,6,warm fuzzies.
5,anxiety,6,happy,6,warm fuzzies.,6,warm fuzzies.,6,warm fuzzies.,6,"beatitude,"
5,dread,6,warm fuzzies.,6,"beatitude,",6,"beatitude,",6,"beatitude,",6,blessed
5,"fearfulness,",6,"beatitude,",6,blessed,6,blessed,6,blessed,6,"bliss,"
5,"fright,",6,blessed,6,"bliss,",6,"bliss,",6,"bliss,",6,"blissfulness,"
5,"horror,",6,"bliss,",6,"blissfulness,",6,"blissfulness,",6,"blissfulness,",6,"felicity,"
