teaching,teaching,coursecontent,coursecontent,examination,Examination,labwork,labwork,library_facilities, library_facilities,extracurricular,extracurricular
5,"panic,",6,"blissfulness,",6,"felicity,",6,"felicity,",6,"felicity,",6,"gladness,"
5,alarm.,6,"felicity,",6,"gladness,",6,"gladness,",6,"gladness,",6,happy
5,anxiety,6,"gladness,",6,happy,6,happy,6,happy,6,warm fuzzies.
5,dread,6,happy,6,warm fuzzies.,6,warm fuzzies.,6,warm fuzzies.,7,"amazement,"
5,"fearfulness,",6,warm fuzzies.,7,"amazement,",7,"amazement,",7,"amazement,",7,"astonishment,"
5,"fright,",7,"amazement,",7,"astonishment,",7,"astonishment,",7,"astonishment,",7,"shock,"
5,"horror,",7,"astonishment,",7,"shock,",7,"shock,",7,"shock,",7,"startlement,"
5,"panic,",7,"shock,",7,"startlement,",7,"startlement,",7,"startlement,",7,stupefaction.
6,"beatitude,",7,"startlement,",7,stupefaction.,7,stupefaction.,7,stupefaction.,7,"amazement,"
6,blessed,7,stupefaction.,7,"amazement,",7,"amazement,",7,"amazement,",7,"astonishment,"
6,"bliss,",7,"amazement,",7,"astonishment,",7,"astonishment,",7,"astonishment,",7,"shock,"
6,"blissfulness,",7,"astonishment,",7,"shock,",7,"shock,",7,"shock,",7,"startlement,"
6,"felicity,",7,"shock,",7,"startlement,",7,"startlement,",7,"startlement,",7,stupefaction.
6,"gladness,",7,"startlement,",7,stupefaction.,7,stupefaction.,7,stupefaction.,7,"amazement,"
6,happy,7,stupefaction.,7,"amazement,",7,"amazement,",7,"amazement,",7,"astonishment,"
6,warm fuzzies.,7,"amazement,",7,"astonishment,",7,"astonishment,",7,"astonishment,",7,"shock,"
6,"beatitude,",7,"astonishment,",7,"shock,",7,"shock,",7,"shock,",7,"startlement,"
6,blessed,7,"shock,",7,"startlement,",7,"startlement,",7,"startlement,",7,stupefaction.
6,"bliss,",7,"startlement,",7,stupefaction.,7,stupefaction.,7,stupefaction.,1,very cheerful 
6,"blissfulness,",7,stupefaction.,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,delighted
6,"felicity,",1,very cheerful ,1,delighted,1,delighted,1,delighted,1,ecstatic.
6,"gladness,",1,delighted,1,ecstatic.,1,ecstatic.,1,ecstatic.,1,glad.
6,happy,1,ecstatic.,1,glad.,1,glad.,1,glad.,1,joyful
6,warm fuzzies.,1,glad.,1,joyful,1,joyful,1,joyful,1,joyous
6,"beatitude,",1,joyful,1,joyous,1,joyous,1,joyous,1,cheerful
6,blessed,1,joyous,1,cheerful,1,cheerful,1,cheerful,1,very cheerful 
6,"bliss,",1,cheerful,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,delighted
6,"blissfulness,",1,very cheerful ,1,delighted,1,delighted,1,delighted,1,ecstatic.
6,"felicity,",1,delighted,1,ecstatic.,1,ecstatic.,1,ecstatic.,1,glad.
6,"gladness,",1,ecstatic.,1,glad.,1,glad.,1,glad.,1,joyful
6,happy,1,glad.,1,joyful,1,joyful,1,joyful,1,joyous
6,warm fuzzies.,1,joyful,1,joyous,1,joyous,1,joyous,1,cheerful
7,"amazement,",1,joyous,1,cheerful,1,cheerful,1,cheerful,1,very cheerful 
7,"astonishment,",1,cheerful,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,delighted
7,"shock,",1,very cheerful ,1,delighted,1,delighted,1,delighted,1,ecstatic of the course content is nice.
7,"startlement,",1,delighted,1,ecstatic of the course content is nice.,1,ecstatic of the course content is nice.,1,ecstatic of the course content is nice.,1,I am very glad to study. 
7,stupefaction.,1,ecstatic of the course content is nice.,1,I am very glad to study. ,1,I am very glad to study. ,1,I am very glad to study. ,1,classroom environment where very joyful
7,"amazement,",1,I am very glad to study. ,1,classroom environment where very joyful,1,classroom environment where very joyful,1,classroom environment where very joyful,1,joyous
7,"astonishment,",1,classroom environment where very joyful,1,joyous,1,joyous,1,joyous,1,cheerful
7,"shock,",1,joyous,1,cheerful,1,cheerful,1,cheerful,1,very cheerful 
7,"startlement,",1,cheerful,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,delighted
7,stupefaction.,1,very cheerful ,1,delighted,1,delighted,1,delighted,1,ecstatic.
7,"amazement,",1,delighted,1,ecstatic.,1,ecstatic.,1,ecstatic.,1,glad.
7,"astonishment,",1,ecstatic.,1,glad.,1,glad.,1,glad.,1,joyful
7,"shock,",1,glad.,1,joyful,1,joyful,1,joyful,1,joyous
7,"startlement,",1,joyful,1,joyous,1,joyous,1,joyous,1,cheerful
7,stupefaction.,1,joyous,1,cheerful,1,cheerful,1,cheerful,1,very cheerful 
1,very cheerful ,1,cheerful,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,delighted
1,delighted,1,very cheerful ,1,delighted,1,delighted,1,delighted,1,ecstatic.
1,ecstatic.,1,delighted,1,ecstatic.,1,ecstatic.,1,ecstatic.,1,glad.
1,faculty are very glad to teach,1,ecstatic.,1,glad.,1,glad.,1,glad.,1,joyful
1,joyful,1,glad.,1,joyful,1,joyful,1,joyful,1,joyous
1,joyous,1,joyful,1,joyous,1,joyous,1,joyous,1,cheerful
1,Faculty has a cheerful outlook on student.,1,joyous,1,cheerful,1,cheerful,1,cheerful,1,course content where very cheerful and motivating.  
1,very cheerful ,1,cheerful,1,course content where very cheerful and motivating.  ,1,course content where very cheerful and motivating.  ,1,course content where very cheerful and motivating.  ,1,very cheerful 
1,delighted,1,course content where very cheerful and motivating.  ,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,very cheerful 
1,ecstatic.,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,cheerful 
1,glad,1,very cheerful ,1,cheerful ,1,cheerful ,1,cheerful ,1,very cheerful 
1,joyful,1,cheerful ,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,cheerful 
1,joyous,1,very cheerful ,1,cheerful ,1,cheerful ,1,cheerful ,1,delighted
1,cheerful,1,cheerful ,1,delighted,1,delighted,1,delighted,1,ecstatic.
1,very cheerful ,1,delighted,1,ecstatic.,1,ecstatic.,1,ecstatic.,1,glad.
1,faculty are very delighted about teaching.,1,ecstatic.,1,glad.,1,glad.,1,glad.,1,joyful
1,ecstatic of the course content is nice.,1,glad.,1,joyful,1,joyful,1,joyful,1,joyous
1,I am very glad to study. ,1,joyful,1,joyous,1,joyous,1,joyous,1,cheerful
1,classroom environment where very joyful,1,joyous,1,cheerful,1,cheerful,1,cheerful,-1,"depressing,"
1,joyous environment,1,cheerful,-1,"depressing,",-1,"depressing,",-1,"depressing,",-1,"dismal,"
1,cheerful,-1,"depressing,",-1,"dismal,",-1,"dismal,",-1,"dismal,",-1,"drear,"
1,very cheerful ,-1,"dismal,",-1,"drear,",-1,"drear,",-1,"drear,",-1,"dreary,"
1,delighted,-1,"drear,",-1,"dreary,",-1,"dreary,",-1,"dreary,",-1,"heartbreaking,"
1,ecstatic.,-1,"dreary,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartrending,"
1,glad.,-1,"heartbreaking,",-1,"heartrending,",-1,"heartrending,",-1,"heartrending,",-1,"melancholy,"
1,joyful,-1,"heartrending,",-1,"melancholy,",-1,"melancholy,",-1,"melancholy,",-1,"mournful,"
1,joyous,-1,"melancholy,",-1,"mournful,",-1,"mournful,",-1,"mournful,",-1,"depressing,"
1,cheerful,-1,"mournful,",-1,"depressing,",-1,"depressing,",-1,"depressing,",-1,"dismal,"
1,very cheerful ,-1,"depressing,",-1,"dismal,",-1,"dismal,",-1,"dismal,",-1,"drear,"
1,delighted,-1,"dismal,",-1,"drear,",-1,"drear,",-1,"drear,",-1,"dreary,"
1,ecstatic.,-1,"drear,",-1,"dreary,",-1,"dreary,",-1,"dreary,",-1,"heartbreaking,"
1,glad.,-1,"dreary,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartrending,"
1,joyful,-1,"heartbreaking,",-1,"heartrending,",-1,"heartrending,",-1,"heartrending,",-1,"melancholy,"
1,joyous,-1,"heartrending,",-1,"melancholy,",-1,"melancholy,",-1,"melancholy,",-1,"mournful,"
1,cheerful,-1,"melancholy,",-1,"mournful,",-1,"mournful,",-1,"mournful,",-1,"depressing,"
1,course content where very cheerful and motivating.  ,-1,"mournful,",-1,"depressing,",-1,"depressing,",-1,"depressing,",-1,"dismal,"
1,very cheerful ,-1,"depressing,",-1,"dismal,",-1,"dismal,",-1,"dismal,",-1,"drear,"
1,very cheerful ,-1,"dismal,",-1,"drear,",-1,"drear,",-1,"drear,",-1,"dreary,"
1,cheerful ,-1,"drear,",-1,"dreary,",-1,"dreary,",-1,"dreary,",-1,"heartbreaking,"
1,very cheerful ,-1,"dreary,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartbreaking,",-1,"heartrending,"
1,cheerful ,-1,"heartbreaking,",-1,"heartrending,",-1,"heartrending,",-1,"heartrending,",-1,"melancholy,"
1,delighted,-1,"heartrending,",-1,"melancholy,",-1,"melancholy,",-1,"melancholy,",-1,"mournful,"
1,ecstatic.,-1,"melancholy,",-1,"mournful,",-1,"mournful,",-1,"mournful,",4,angry.
1,glad.,-1,"mournful,",4,angry.,4,angry.,4,angry.,4,enraged.
1,joyful,4,angry.,4,enraged.,4,enraged.,4,enraged.,4,fuming.
1,joyous,4,enraged.,4,fuming.,4,fuming.,4,fuming.,4,furious.
1,cheerful,4,fuming.,4,furious.,4,furious.,4,furious.,4,incensed.
-1,"depressing,",4,furious.,4,incensed.,4,incensed.,4,incensed.,4,indignant.
-1,"dismal,",4,incensed.,4,indignant.,4,indignant.,4,indignant.,4,infuriated.
-1,"drear,",4,indignant.,4,infuriated.,4,infuriated.,4,infuriated.,4,mad.
-1,"dreary,",4,infuriated.,4,mad exam,4,mad.,4,mad.,4,angry.
-1,"heartbreaking,",4,mad.,4,angry.,4,angry.,4,angry.,4,enraged.
-1,"heartrending,",4,angry.,4,enraged.,4,enraged.,4,enraged.,4,fuming.
-1,"melancholy,",4,enraged.,4,fuming.,4,fuming.,4,fuming.,4,furious.
-1,"mournful,",4,fuming.,4,furious.,4,furious.,4,furious.,4,incensed.
-1,"depressing,",4,furious.,4,incensed.,4,incensed.,4,incensed.,4,indignant.
-1,"dismal,",4,incensed.,4,indignant.,4,indignant.,4,indignant.,4,infuriated.
-1,"drear,",4,indignant.,4,infuriated.,4,infuriated.,4,infuriated.,4,mad.
-1,"dreary,",4,infuriated.,4,mad.,4,mad.,4,mad.,4,angry.
-1,"heartbreaking,",4,mad.,4,angry.,4,angry.,4,angry.,4,enraged.
-1,"heartrending,",4,angry.,4,enraged.,4,enraged.,4,enraged.,4,fuming.
-1,"melancholy,",4,enraged.,4,fuming.,4,fuming.,4,fuming.,4,furious.
-1,"mournful,",4,fuming.,4,furious.,4,furious.,4,furious.,4,incensed.
-1,"depressing,",4,furious.,4,incensed.,4,incensed.,4,incensed.,4,indignant.
-1,"dismal,",4,incensed.,4,indignant.,4,indignant.,4,indignant.,4,infuriated.
-1,"drear,",4,indignant.,4,infuriated.,4,infuriated.,4,infuriated.,4,mad.
-1,"dreary,",4,infuriated.,4,mad.,4,mad.,4,mad.,5,alarm.
-1,"heartbreaking,",4,mad.,5,alarm.,5,alarm.,5,alarm.,5,anxiety
-1,"heartrending,",5,alarm.,5,anxiety,5,anxiety,5,anxiety,5,dread
-1,"melancholy,",5,anxiety,5,dread,5,dread,5,dread,5,"fearfulness,"
-1,"mournful,",5,dread,5,"fearfulness,",5,"fearfulness,",5,"fearfulness,",5,"fright,"
4,angry.,5,"fearfulness,",5,"fright,",5,"fright,",5,"fright,",5,"horror,"
4,enraged.,5,"fright,",5,"horror,",5,"horror,",5,"horror,",5,"panic,"
4,fuming.,5,"horror,",5,"panic,",5,"panic,",5,"panic,",5,alarm.
4,furious.,5,"panic,",5,alarm.,5,alarm.,5,alarm.,5,anxiety
4,incensed.,5,alarm.,5,anxiety,5,anxiety,5,anxiety,5,dread
4,indignant.,5,anxiety,5,dread,5,dread,5,dread,5,"fearfulness,"
4,infuriated.,5,dread,5,"fearfulness,",5,"fearfulness,",5,"fearfulness,",5,"fright,"
4,mad.,5,"fearfulness,",5,"fright,",5,"fright,",5,"fright,",5,"horror,"
4,angry.,5,"fright,",5,"horror,",5,"horror,",5,"horror,",5,"panic,"
4,enraged.,5,"horror,",5,"panic,",5,"panic,",5,"panic,",5,alarm.
4,fuming.,5,"panic,",5,alarm.,5,alarm.,5,alarm.,5,anxiety
4,furious.,5,alarm.,5,anxiety,5,anxiety,5,anxiety,5,dread
4,incensed.,5,anxiety,5,dread,5,dread,5,dread,5,"fearfulness,"
4,indignant.,5,dread,5,"fearfulness,",5,"fearfulness,",5,"fearfulness,",5,"fright,"
4,infuriated.,5,"fearfulness,",5,"fright,",5,"fright,",5,"fright,",5,"horror,"
4,mad.,5,"fright,",5,"horror,",5,"horror,",5,"horror,",5,"panic,"
4,angry.,5,"horror,",5,"panic,",5,"panic,",5,"panic,",5,alarm.
4,enraged.,5,"panic,",5,alarm.,5,alarm.,5,alarm.,5,anxiety
4,fuming.,5,alarm.,5,anxiety,5,anxiety,5,anxiety,5,dread
4,furious.,5,anxiety,5,dread,5,dread,5,dread,5,"fearfulness,"
4,incensed.,5,dread,5,"fearfulness,",5,"fearfulness,",5,"fearfulness,",5,"fright,"
4,indignant.,5,"fearfulness,",5,"fright,",5,"fright,",5,"fright,",5,"horror,"
4,infuriated.,5,"fright,",5,"horror,",5,"horror,",5,"horror,",5,"panic,"
4,mad.,5,"horror,",5,"panic,",5,"panic,",5,"panic,",6,"beatitude,"
5,alarm.,5,"panic,",6,"beatitude,",6,"beatitude,",6,"beatitude,",6,blessed
5,anxiety,6,"beatitude,",6,blessed,6,blessed,6,blessed,6,"bliss,"
5,dread,6,blessed,6,"bliss,",6,"bliss,",6,"bliss,",6,"blissfulness,"
5,"fearfulness,",6,"bliss,",6,"blissfulness,",6,"blissfulness,",6,"blissfulness,",6,"felicity,"
5,"fright,",6,"blissfulness,",6,"felicity,",6,"felicity,",6,"felicity,",6,"gladness,"
5,"horror,",6,"felicity,",6,"gladness,",6,"gladness,",6,"gladness,",6,happy
5,"panic,",6,"gladness,",6,happy,6,happy,6,happy,6,warm fuzzies.
5,alarm.,6,happy,6,warm fuzzies.,6,warm fuzzies.,6,warm fuzzies.,6,"beatitude,"
5,anxiety,6,warm fuzzies.,6,"beatitude,",6,"beatitude,",6,"beatitude,",6,blessed
5,dread,6,"beatitude,",6,blessed,6,blessed,6,blessed,6,"bliss,"
5,"fearfulness,",6,blessed,6,"bliss,",6,"bliss,",6,"bliss,",6,"blissfulness,"
5,"fright,",6,"bliss,",6,"blissfulness,",6,"blissfulness,",6,"blissfulness,",6,"felicity,"
5,"horror,",6,"blissfulness,",6,"felicity,",6,"felicity,",6,"felicity,",6,"gladness,"
5,"panic,",6,"felicity,",6,"gladness,",6,"gladness,",6,"gladness,",6,happy
5,alarm.,6,"gladness,",6,happy,6,happy,6,happy,6,warm fuzzies.
5,anxiety,6,happy,6,warm fuzzies.,6,warm fuzzies.,6,warm fuzzies.,6,"beatitude,"
5,dread,6,warm fuzzies.,6,"beatitude,",6,"beatitude,",6,"beatitude,",6,blessed
5,"fearfulness,",6,"beatitude,",6,blessed,6,blessed,6,blessed,6,"bliss,"
5,"fright,",6,blessed,6,"bliss,",6,"bliss,",6,"bliss,",6,"blissfulness,"
5,"horror,",6,"bliss,",6,"blissfulness,",6,"blissfulness,",6,"blissfulness,",6,"felicity,"
5,"panic,",6,"blissfulness,",6,"felicity,",6,"felicity,",6,"felicity,",6,"gladness,"
5,alarm.,6,"felicity,",6,"gladness,",6,"gladness,",6,"gladness,",6,happy
5,anxiety,6,"gladness,",6,happy,6,happy,6,happy,6,warm fuzzies.
5,dread,6,happy,6,warm fuzzies.,6,warm fuzzies.,6,warm fuzzies.,7,"amazement,"
5,"fearfulness,",6,warm fuzzies.,7,"amazement,",7,"amazement,",7,"amazement,",7,"astonishment,"
5,"fright,",7,"amazement,",7,"astonishment,",7,"astonishment,",7,"astonishment,",7,"shock,"
5,"horror,",7,"astonishment,",7,"shock,",7,"shock,",7,"shock,",7,"startlement,"
5,"panic,",7,"shock,",7,"startlement,",7,"startlement,",7,"startlement,",7,stupefaction.
6,"beatitude,",7,"startlement,",7,stupefaction.,7,stupefaction.,7,stupefaction.,7,"amazement,"
6,blessed,7,stupefaction.,7,"amazement,",7,"amazement,",7,"amazement,",7,"astonishment,"
6,"bliss,",7,"amazement,",7,"astonishment,",7,"astonishment,",7,"astonishment,",7,"shock,"
6,"blissfulness,",7,"astonishment,",7,"shock,",7,"shock,",7,"shock,",7,"startlement,"
6,"felicity,",7,"shock,",7,"startlement,",7,"startlement,",7,"startlement,",7,stupefaction.
6,"gladness,",7,"startlement,",7,stupefaction.,7,stupefaction.,7,stupefaction.,7,"amazement,"
6,happy,7,stupefaction.,7,"amazement,",7,"amazement,",7,"amazement,",7,"astonishment,"
6,warm fuzzies.,7,"amazement,",7,"astonishment,",7,"astonishment,",7,"astonishment,",7,"shock,"
6,"beatitude,",7,"astonishment,",7,"shock,",7,"shock,",7,"shock,",7,"startlement,"
6,blessed,7,"shock,",7,"startlement,",7,"startlement,",7,"startlement,",7,stupefaction.
6,"bliss,",7,"startlement,",7,stupefaction.,7,stupefaction.,7,stupefaction.,1,very cheerful 
6,"blissfulness,",7,stupefaction.,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,delighted
6,"felicity,",1,very cheerful ,1,delighted,1,delighted,1,delighted,1,ecstatic.
6,"gladness,",1,delighted,1,ecstatic.,1,ecstatic.,1,ecstatic.,1,glad.
6,happy,1,ecstatic.,1,glad.,1,glad.,1,glad.,1,joyful
6,warm fuzzies.,1,glad.,1,joyful,1,joyful,1,joyful,1,joyous
6,"beatitude,",1,joyful,1,joyous,1,joyous,1,joyous,1,cheerful
6,blessed,1,joyous,1,cheerful,1,cheerful,1,cheerful,1,very cheerful 
6,"bliss,",1,cheerful,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,delighted
6,"blissfulness,",1,very cheerful ,1,delighted,1,delighted,1,delighted,1,ecstatic.
6,"felicity,",1,delighted,1,ecstatic.,1,ecstatic.,1,ecstatic.,1,glad.
6,"gladness,",1,ecstatic.,1,glad.,1,glad.,1,glad.,1,joyful
6,happy,1,glad.,1,joyful,1,joyful,1,joyful,1,joyous
6,warm fuzzies.,1,joyful,1,joyous,1,joyous,1,joyous,1,cheerful
7,"amazement,",1,joyous,1,cheerful,1,cheerful,1,cheerful,1,very cheerful 
7,"astonishment,",1,cheerful,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,delighted
7,"shock,",1,very cheerful ,1,delighted,1,delighted,1,delighted,1,ecstatic of the course content is nice.
7,"startlement,",1,delighted,1,ecstatic of the course content is nice.,1,ecstatic of the course content is nice.,1,ecstatic of the course content is nice.,1,I am very glad to study. 
7,stupefaction.,1,ecstatic of the course content is nice.,1,I am very glad to study. ,1,I am very glad to study. ,1,I am very glad to study. ,1,classroom environment where very joyful
7,"amazement,",1,I am very glad to study. ,1,classroom environment where very joyful,1,classroom environment where very joyful,1,classroom environment where very joyful,1,joyous
7,"astonishment,",1,classroom environment where very joyful,1,joyous,1,joyous,1,joyous,1,cheerful
7,"shock,",1,joyous,1,cheerful,1,cheerful,1,cheerful,1,very cheerful 
7,"startlement,",1,cheerful,1,very cheerful ,1,very cheerful ,1,very cheerful ,1,delighted
7,stupefaction.,1,very cheerful ,1,delighted,1,delighted,1,delighted,1,ecstatic.
7,"amazement,",1,delighted,1,ecstatic.,1,ecstatic.,1,ecstatic.,1,glad.
7,"astonishment,",1,ecstatic.,1,glad.,1,glad.,1,glad.,1,joyful
7,"shock,",1,glad.,1,joyful,1,joyful,1,joyful,1,joyous
7,"startlement,",1,joyful,1,joyous,1,joyous,1,joyous,1,cheerful
7,stupefaction.,1,joyous,1,cheerful,1,cheerful,1,cheerful,0,but
1,very cheerful ,1,cheerful,4,very tuff,0,but,0,but,0,but
1,delighted,4, tuff sylabus,4,tuff,0,but,0,but,0,but
1,ecstatic.,4,tuff,4,tuff exam,0,but,0,but,0,but
1,glad.,4,tuff,4,tuff exam,0,but,0,but,0,but
1,joyful,0,but,0,but ,0,but,0,but,0,but
1,joyous,0,but,0,but,0,but,0,but,0,but
1,cheerful,0,but,0,but,0,but,0,but,0,but
1,very cheerful ,0,but,0,but,0,but,0,but,0,but
1,delighted,0,but,0,but,0,but,0,but,0,but
1,ecstatic.,0,but,0,but,0,but,0,but,0,but
1,glad.,0,but,0,but,0,but,0,but,0,but
1,joyful,0,but,0,but,0,but,0,but,0,but need to improve
1,joyous,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve
1,cheerful,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve
1,very cheerful ,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve
1,delighted,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve
1,ecstatic of the course content is nice.,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve
1,I am very glad to study. ,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve
1,classroom environment where very joyful,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve
1,joyous,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve
1,cheerful,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve
1,very cheerful ,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve
1,delighted,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve
1,ecstatic.,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve
1,glad.,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve
1,joyful,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve
1,joyous,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve
1,cheerful,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve,0,but need to improve
0,not engaged on either side,0,not engaged on either side,0,but need to improve,0,but need to improve,0,but need to improve,0,not engaged on either side
0,not engaged on either side,0,not engaged on either side,0,not engaged on either side,0,not engaged on either side,0,not engaged on either side,0,not engaged on either side
0,not engaged on either side,0,not engaged on either side,0,not engaged on either side,0,not engaged on either side,0,not engaged on either side,0,not engaged on either side
4,HARD,4,HARD,0,not engaged on either side,0,not engaged on either side,0,not engaged on either side,4,HARD
4,HARD,4,HARD,4,HARD,4,HARD,4,HARD,4,HARD
4,HARD,4,HARD,4,HARD,4,HARD,4,HARD,4,HARD
4,HARD,4,HARD,4,HARD,4,HARD,4,HARD,4,HARD
4,HARD,4,HARD,4,HARD,4,HARD,4,HARD,4,HARD
4,very HARD,4,very HARD,4,very HARD,4,very HARD,4,very HARD,4,very HARD
4,very HARD,4,very HARD,4,very HARD,4,very HARD,4,very HARD,4,very HARD
4,very HARD,4,very HARD,4,very HARD,4,very HARD,4,very HARD,4,very HARD
4,very HARD,4,very HARD,4,very HARD,4,very HARD,4,very HARD,4,very HARD
-1,no,-1,no,-1,no,-1,no,-1,no,-1,no
-1,not,-1,not,-1,not,-1,not,-1,not,-1,not
-1,none,-1,none,-1,none,-1,none,-1,none,-1,none
-1,no one doing their job properly,-1,no one doing their job properly,-1,no one doing their job properly,-1,no one doing their job properly,-1,no one doing their job properly,-1,no one doing their job properly
-1,no one is good,-1,no one is good,-1,no one is good,-1,no one is good,-1,no one is good,-1,no one is good
-1,bad,-1,bad,-1,bad,-1,bad,-1,bad,-1,bad
-1,very bad,-1,very bad,-1,very bad,-1,very bad,-1,very bad,-1,very bad
-1,worst,-1,worst,-1,worst,-1,worst,-1,worst,-1,worst
-1,not good,-1,not good,-1,not good,-1,not good,-1,not good,-1,not good
-1,not appliing,-1,not appliing,-1,not appliing,-1,not appliing,-1,not appliing,-1,not appliing
-1,nothing,-1,nothing,-1,nothing,-1,nothing,-1,nothing,-1,nothing
-1,no,-1,no,-1,no,-1,no,-1,no,-1,no
-1,not,-1,not,-1,not,-1,not,-1,not,-1,not
-1,none,-1,none,-1,none,-1,none,-1,none,-1,none
-1,no one doing their job properly,-1,no one doing their job properly,-1,no one doing their job properly,-1,no one doing their job properly,-1,no one doing their job properly,-1,no one doing their job properly
-1,no one is good,-1,no one is good,-1,no one is good,-1,no one is good,-1,no one is good,-1,no one is good
-1,bad,-1,bad,-1,bad,-1,bad,-1,bad,-1,bad
-1,very bad,-1,very bad,-1,very bad,-1,very bad,-1,very bad,-1,very bad
-1,worst,-1,worst,-1,worst,-1,worst,-1,worst,-1,worst
-1,not good,-1,not good,-1,not good,-1,not good,-1,not good,-1,not good
-1,not appliing,-1,not appliing,-1,not appliing,-1,not appliing,-1,not appliing,-1,not appliing
-1,nothing,-1,nothing,-1,nothing,-1,nothing,-1,nothing,-1,nothing
-1,no,-1,no,-1,no,-1,no,-1,no,-1,no
-1,not,-1,not,-1,not,-1,not,-1,not,-1,not
-1,none,-1,none,-1,none,-1,none,-1,none,-1,none
-1,no one doing their job properly,-1,no one doing their job properly,-1,no one doing their job properly,-1,no one doing their job properly,-1,no one doing their job properly,-1,no one doing their job properly
-1,no one is good,-1,no one is good,-1,no one is good,-1,no one is good,-1,no one is good,-1,no one is good
-1,bad,-1,bad,-1,bad,-1,bad,-1,bad,-1,bad
-1,very bad,-1,very bad,-1,very bad,-1,very bad,-1,very bad,-1,very bad
-1,worst,-1,worst,-1,worst,-1,worst,-1,worst,-1,worst
-1,not good,-1,not good,-1,not good,-1,not good,-1,not good,-1,not good
-1,not appliing,-1,not appliing,-1,not appliing,-1,not appliing,-1,not appliing,-1,not appliing
-1,nothing,-1,nothing,-1,nothing,-1,nothing,-1,nothing,-1,nothing
-1,very bad,-1,very bad,-1,very bad,-1,very bad,-1,very bad,-1,very bad
-1,worst,-1,worst,-1,worst,-1,worst,-1,worst,-1,worst
-1,not good,-1,not good,-1,not good,-1,not good,-1,not good,-1,not good
-1,not appliing,-1,not appliing,-1,not appliing,-1,not appliing,-1,not appliing,-1,not appliing
-1,nothing,-1,nothing,-1,nothing,-1,nothing,-1,nothing,-1,nothing
-1,very bad,-1,very bad,-1,very bad,-1,very bad,-1,very bad,-1,very bad
-1,worst,-1,worst,-1,worst,-1,worst,-1,worst,-1,worst
-1,not good,-1,not good,-1,not good,-1,not good,-1,not good,-1,not good
-1,not appliing,-1,not appliing,-1,not appliing,-1,not appliing,-1,not appliing,-1,not appliing
-1,nothing,-1,nothing,-1,nothing,-1,nothing,-1,nothing,-1,nothing
